,Unnamed: 0,index,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidated_genre_lists,year,popularity_red,consolidated_genre_lists2,genre_filtered,genre_filtered2,year_bins,sim,url
8476,444224,452231,1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,82,206413,0,['Calvin Harris'],['7CajNmpbOovFoOoasH2HaY'],2012-10-29,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,4,['Calvin Harris'],[],['Calvin Harris'],Calvin HarrisFeel So Close - Radio Edit,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",2012,16,"['dance_pop', 'edm', 'electro_house', 'house', 'pop', 'pop_dance', 'progressive_house', 'uk_dance']",['others'],['others'],"(2011.714, 2021.0]",0.9504849940656392,https://i.scdn.co/image/ab67616d00001e02dcef905cb144d4867119850b
7869,419130,426493,2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,81,248413,0,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']","['4tZwfgrHOc3mvqYlEYSvVi', '2RdwBSPQiwcmiDo9kixcl8', '3yDIp0kaq9EFKe07X1X2rz']",2013-04-19,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,4,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",[],"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",Daft PunkGet Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"['electro', 'filter house']",2013,16,"['electro', 'filter_house']",['others'],['others'],"(2011.714, 2021.0]",0.95043511948872,https://i.scdn.co/image/ab67616d00001e021d5cf960a92bb8b03fc2be7f
7442,395098,402024,39LLxExYz6ewLAcYrzQQyP,Levitating,82,203808,0,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],2020-03-27,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,4,['Dua Lipa'],[],['Dua Lipa'],Dua LipaLevitating,"['dance pop', 'pop', 'uk pop']",2020,16,"['dance_pop', 'pop', 'uk_pop']",['others'],['others'],"(2011.714, 2021.0]",0.9503843759133955,https://i.scdn.co/image/ab67616d00001e02bd26ede1ae69327010d49946
6242,310538,316275,40zJaB3z53PGaxIkYyieBP,Só de Sacanagem - Ao Vivo,80,183695,0,"['Israel & Rodolffo', 'MC Matheuzinho']","['41QLxRXlc2NwfJZkHGHKid', '1JQLCxphQYlnbokiEvfB8o']",2021-01-29,0.826,0.769,11,-5.203,0,0.0507,0.538,0.0,0.345,0.709,125.979,4,"['Israel & Rodolffo', 'MC Matheuzinho']",[],"['Israel & Rodolffo', 'MC Matheuzinho']",Israel & RodolffoSó de Sacanagem - Ao Vivo,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",2021,16,"['sertanejo', 'sertanejo_pop', 'sertanejo_universitario']",['others'],['others'],"(2011.714, 2021.0]",0.9497891449345334,https://i.scdn.co/image/ab67616d00001e029726aea0a29b86961db39a23
9097,475835,484365,41wtwzCZkXwpnakmwJ239F,Si Veo a Tu Mamá,82,170972,0,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2020-02-28,0.9,0.603,2,-5.313,1,0.0646,0.402,4.81e-06,0.134,0.824,129.928,4,['Bad Bunny'],[],['Bad Bunny'],Bad BunnySi Veo a Tu Mamá,"['latin', 'reggaeton', 'trap latino']",2020,16,"['latin', 'reggaeton', 'trap_latino']",['others'],['others'],"(2011.714, 2021.0]",0.9497876342023528,https://i.scdn.co/image/ab67616d00001e02548f7ec52da7313de0c5e4a0
2287,126048,128887,3CVb6hkMrlF7eHhXi5B3PZ,Body,80,183830,1,"['Russ Millions', 'Tion Wayne']","['3FoFW2AoUGRHBacC6i4x4p', '7b79bQFziJFedJb75k6hFt']",2021-03-25,0.889,0.705,11,-8.683,0,0.392,0.389,1.04e-05,0.0692,0.815,141.069,4,"['Russ Millions', 'Tion Wayne']",[],"['Russ Millions', 'Tion Wayne']",Russ MillionsBody,"['uk drill', 'uk hip hop']",2021,16,"['uk_drill', 'uk_hip_hop']",['others'],['others'],"(2011.714, 2021.0]",0.949482679808896,https://i.scdn.co/image/ab67616d00001e02849466f99d8a61233f287af7
4291,222285,226783,4RJz8NfIe09gpKMiRUWKhJ,Parce (feat. Justin Quiles),86,248345,0,"['Maluma', 'Lenny Tavárez', 'Justin Quiles']","['1r4hJ1h58CWwUQe3MxPuau', '1pQWsZQehhS4wavwh7Fnxd', '14zUHaJZo1mnYtn6IBRaRP']",2020-08-21,0.691,0.739,5,-3.09,0,0.229,0.422,3.95e-06,0.11,0.884,83.897,4,"['Maluma', 'Lenny Tavárez', 'Justin Quiles']",[],"['Maluma', 'Lenny Tavárez', 'Justin Quiles']",MalumaParce (feat. Justin Quiles),"['latin', 'reggaeton', 'reggaeton colombiano']",2020,17,"['latin', 'reggaeton', 'reggaeton_colombiano']",['others'],['others'],"(2011.714, 2021.0]",0.949168961608662,https://i.scdn.co/image/ab67616d00001e0287d15f78ec75621d40028baf
6374,318730,324623,2nZj5YymF54qhAu7RneVP6,Coração Na Cama,86,173227,0,['Hugo & Guilherme'],['1LIuN7ov1IBQDdLsU83ojl'],2020-11-13,0.764,0.794,8,-4.096,1,0.0589,0.663,0.0,0.34,0.721,110.013,4,['Hugo & Guilherme'],[],['Hugo & Guilherme'],Hugo & GuilhermeCoração Na Cama,['sertanejo pop'],2020,17,['sertanejo_pop'],['others'],['others'],"(2011.714, 2021.0]",0.949112056416323,https://i.scdn.co/image/ab67616d00001e02ebdcff3e9ca69cd0f547d67f
7946,420470,427895,27X3qzgB0Show6qfw5wNOK,Esquema Preferido,86,189463,0,"['DJ Ivis', 'Tarcísio do Acordeon']","['0RPzmE1iY76tx1eBBXFyYn', '48HORs6F9P7IgdyKrk4MZC']",2020-11-26,0.669,0.812,5,-4.597,1,0.11,0.256,0.0,0.0773,0.917,159.934,4,"['DJ Ivis', 'Tarcísio do Acordeon']",[],"['DJ Ivis', 'Tarcísio do Acordeon']",DJ IvisEsquema Preferido,"['forro', 'piseiro', 'sertanejo pop']",2020,17,"['forro', 'piseiro', 'sertanejo_pop']",['others'],['others'],"(2011.714, 2021.0]",0.9490616296323549,https://i.scdn.co/image/ab67616d00001e0249c95c97f3ca3da3bea2dc67
3228,172200,175817,2SUPbyD77tJuOUbqbxct6l,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,84,147876,0,"['Os Barões Da Pisadinha', 'Jorge']","['5Lv2GUVwqmQBPwrTrxucE5', '6gLW5LlLEXdtWaS0EWfzaJ']",2021-02-19,0.593,0.932,8,-2.324,1,0.0526,0.302,0.0,0.133,0.913,171.977,4,"['Os Barões Da Pisadinha', 'Jorge']",[],"['Os Barões Da Pisadinha', 'Jorge']",Os Barões Da PisadinhaQuero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,"['forro', 'piseiro']",2021,16,"['forro', 'piseiro']",['others'],['others'],"(2011.714, 2021.0]",0.9490452694146055,https://i.scdn.co/image/ab67616d00001e023bd9e001b33f29b49117bd70
6156,307826,313494,2MbdDtCv5LUVjYy9RuGTgC,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",84,227478,1,"['Jack Harlow', 'Tory Lanez', 'DaBaby', 'Lil Wayne']","['2LIk90788K0zvyj2JJVwkJ', '2jku7tDXc6XoB6MO2hFuqg', '4r63FhuTkUYltbVAg5TQnk', '55Aa2cqylxrFIXC767Z865']",2020-06-24,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,4,"['Jack Harlow', 'Tory Lanez', 'DaBaby', 'Lil Wayne']",[],"['Jack Harlow', 'Tory Lanez', 'DaBaby', 'Lil Wayne']","Jack HarlowWHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",2020,16,"['deep_underground_hip_hop', 'kentucky_hip_hop', 'pop_rap', 'rap']",['others'],['others'],"(2011.714, 2021.0]",0.9490054884607841,https://i.scdn.co/image/ab67616d00001e02b5f0a8d46cef9647548c64dc
